area,ciudad,conglomerado,panelm,vivienda,hogar,s101p11,s101p12a,s101p12b,s101p12c,s101p12d,s101p12e,s101p2a,s101p2b,s101p2c,s101p2d,s101p2e,s101p2f,s101p5a,s101p5b,s101p5c,s101p5d,s101p5e,s101p5f,s101p5g,s101p51a,s101p52a,s101p51b,s101p52b,s101p51c,s101p52c,s101p51d,s101p52d,s101p51e,s101p52e,s101p51f,s101p52f,s101p51g,s101p52g,s101p51h,s101p52h,s101p51i,s101p52i,s101p51j,s101p52j,s101p51k,s101p52k,s101p51l,s101p52l,s101p61,s101p62,s101p63,s101p64,s101p65,s101p66,s101p67,s101p68,s101p71,s101p72,s101p73,s101p74,s101p75,s101p76,s101p77,estrato,fexp,upm,id_vivienda,id_hogar
1,30450,4501,19,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,8,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,2,2,1,1,2,2,2,2,2,1,2,2,1,2,2,311,248.7289177,30450004501,3.045E+15,3.045E+16
1,30450,4501,19,2,1,2,2,2,2,2,2,3,3,3,3,3,7,3,3,3,3,3,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,2,2,1,1,2,2,2,2,2,1,1,2,1,2,2,311,248.7289177,30450004501,3.045E+15,3.045E+16
1,30450,4501,19,3,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,2,1,1,1,1,2,2,2,1,1,1,2,1,1,2,311,248.7289177,30450004501,3.045E+15,3.045E+16
1,30450,4501,19,4,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,5,3,8,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,2,2,1,1,1,2,2,2,1,1,2,1,1,1,2,311,248.7289177,30450004501,3.045E+15,3.045E+16
1,30450,4501,19,5,1,1,1,1,1,1,1,5,2,2,2,2,2,2,3,5,2,2,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,2,2,1,1,2,2,2,2,1,1,2,3,1,2,2,311,248.7289177,30450004501,3.045E+15,3.045E+16
1,30450,4501,19,6,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,5,3,3,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,2,2,1,1,1,2,2,2,1,1,2,2,1,2,2,311,248.7289177,30450004501,3.045E+15,3.045E+16
1,30450,4501,19,7,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,5,3,3,8,8,7,,7,,7,,7,,7,,7,,5,2,7,,7,,7,,7,,7,,2,2,1,1,2,2,2,2,1,1,2,1,1,2,2,311,248.7289177,30450004501,3.045E+15,3.045E+16
1,30450,6002,33,1,1,2,1,1,2,1,2,3,2,2,3,2,3,3,3,3,3,8,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,5,5,7,,7,,1,2,1,1,2,2,2,2,1,2,2,2,1,2,2,311,357.5793366,30450006002,3.045E+15,3.045E+16
1,30450,6002,33,2,1,1,2,2,2,2,2,5,3,3,3,3,7,3,3,3,8,8,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,1,2,1,2,1,2,2,2,1,2,2,1,1,2,2,311,357.5793366,30450006002,3.045E+15,3.045E+16
1,30450,6002,33,3,1,1,2,2,2,2,2,5,3,3,3,3,3,3,3,4,8,8,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,1,2,1,2,2,2,2,2,1,1,2,2,1,2,2,311,357.5793366,30450006002,3.045E+15,3.045E+16
1,30450,6002,33,4,1,2,2,2,2,2,2,3,3,3,3,3,7,3,3,3,3,3,3,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,1,2,1,2,2,2,3,3,2,1,2,2,1,2,2,311,357.5793366,30450006002,3.045E+15,3.045E+16
1,30450,6002,33,5,1,1,2,1,2,2,2,5,3,1,3,3,3,3,3,5,3,3,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,1,2,1,2,2,2,2,2,2,1,2,2,1,2,2,311,357.5793366,30450006002,3.045E+15,3.045E+16
1,30450,6002,33,6,1,1,1,1,1,1,2,5,2,2,2,2,7,3,3,5,3,3,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,1,2,1,1,2,2,2,2,1,1,2,2,1,2,2,311,357.5793366,30450006002,3.045E+15,3.045E+16
1,30450,6002,33,7,1,1,1,1,2,1,2,5,2,2,7,2,7,3,3,3,3,8,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,1,2,1,2,1,2,2,2,1,1,2,2,1,2,2,311,357.5793366,30450006002,3.045E+15,3.045E+16
1,30450,6703,18,1,1,2,1,1,2,2,2,3,2,2,3,3,3,3,3,3,3,3,3,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,1,2,1,1,2,2,2,2,1,2,2,2,1,2,2,312,686.981577,30450006703,3.045E+15,3.045E+16
1,30450,6703,18,2,1,2,1,1,2,2,2,3,2,2,3,3,3,3,3,4,3,3,3,3,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,1,2,1,2,1,2,2,2,1,1,2,2,1,2,2,312,686.981577,30450006703,3.045E+15,3.045E+16
1,30450,6703,18,3,1,2,1,1,2,2,2,3,2,2,3,3,3,3,3,3,3,3,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,1,2,1,2,1,2,2,2,1,2,3,3,1,2,2,312,686.981577,30450006703,3.045E+15,3.045E+16
1,30450,6703,18,4,1,2,1,1,2,2,2,3,2,2,3,3,3,3,3,3,3,8,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,1,2,1,1,2,2,2,2,1,2,1,2,1,2,2,312,686.981577,30450006703,3.045E+15,3.045E+16
1,30450,6703,18,5,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,8,8,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,1,2,1,2,2,2,2,2,1,2,1,2,1,2,2,312,686.981577,30450006703,3.045E+15,3.045E+16
1,30450,6703,18,6,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,2,3,3,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,1,2,1,2,2,2,2,2,1,1,2,1,1,2,2,312,686.981577,30450006703,3.045E+15,3.045E+16
1,30450,6703,18,7,1,1,1,1,1,2,2,5,2,2,2,3,3,3,3,5,3,3,3,3,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,1,1,1,1,1,2,2,2,1,1,2,2,1,2,2,312,686.981577,30450006703,3.045E+15,3.045E+16
2,30550,900401,18,1,1,2,2,2,2,2,2,7,7,7,7,7,7,8,8,8,8,8,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,2,3,3,3,3,3,3,3,3,1,3,3,1,3,2,322,362.7628324,30550900401,3.05509E+15,3.05509E+16
2,30550,900401,18,2,1,1,1,1,1,1,2,5,1,1,1,1,7,1,3,5,6,8,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,2,1,1,1,1,2,2,2,1,1,2,1,1,1,2,322,362.7628324,30550900401,3.05509E+15,3.05509E+16
2,30550,900401,18,3,1,1,2,2,2,2,2,5,3,3,7,7,7,8,8,8,8,8,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,2,1,1,1,2,2,3,3,3,1,3,3,1,3,2,322,362.7628324,30550900401,3.05509E+15,3.05509E+16
2,30550,900401,18,4,1,1,2,2,2,2,2,5,3,3,3,3,3,3,3,3,3,3,3,3,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,1,1,1,2,1,2,2,2,1,1,2,2,1,2,2,322,362.7628324,30550900401,3.05509E+15,3.05509E+16
2,30550,900401,18,5,1,1,1,1,2,2,2,5,1,1,7,7,7,6,3,5,6,8,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,2,1,1,1,2,2,2,2,1,1,2,2,1,2,2,322,362.7628324,30550900401,3.05509E+15,3.05509E+16
2,30550,900401,18,6,1,1,2,2,2,2,2,5,3,3,3,3,3,8,3,5,8,3,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,2,1,1,2,1,2,2,2,1,1,2,3,1,1,2,322,362.7628324,30550900401,3.05509E+15,3.05509E+16
2,30550,900401,18,7,1,1,2,2,2,2,2,5,3,3,3,3,3,3,3,3,3,8,3,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,1,2,1,2,1,2,2,2,1,1,2,2,1,2,2,322,362.7628324,30550900401,3.05509E+15,3.05509E+16
